quantity,value
MTOW_input_kg,52.78
MTOW_used_for_final_pass_kg,46.69256187559428
MTOW_mass_estimate_kg,46.69346450239675
mass_closure_error_kg,0.0009026268024712181
sizing_iterations_used,4
climb_stall_margin_n,1.25
climb_CL_limit,0.8192
max_climb_CL,0.4230706641120052
wing_CL_max,1.28
canard_CL_max,1.02
wing_CL_alpha_per_rad,4.74
canard_CL_alpha_per_rad,4.25
wing_CL0,0.2
wing_airfoil_cm0,-0.05
wing_datcom_eta,0.95
canard_datcom_eta,0.95
xfoil_enabled,False
xfoil_changed_last_pass,False
xfoil_condition_source,
xfoil_condition_altitude_m,
xfoil_condition_true_speed_m_s,
xfoil_condition_mach,
xfoil_wing_Re,
xfoil_canard_Re,
clmax_model,finite_wing_datcom
clmax_calibration,1.0
clmax_stall_Re_wing,
clmax_stall_Re_canard,
clmax_stall_true_speed_m_s,
wing_section_clmax,
wing_clmax_section_source,
wing_clmax_delta_y_pct,
wing_clmax_ratio,
wing_clmax_le_sweep_deg,
canard_section_clmax,
canard_clmax_section_source,
canard_clmax_delta_y_pct,
canard_clmax_ratio,
wing_area_m2,2.25
wing_span_m,3.968626966596886
wing_chord_m,0.5669467095138409
wing_mean_chord_m,0.5669467095138409
wing_mac_m,0.6016577325453005
wing_stall_EAS_m_s,16.11146005419225
max_stall_EAS_m_s,16.20703125
stall_margin_m_s,0.09557119580775009
stall_limit_source,transition-sim (forward binding)
stall_limit_safety_factor_R,
stall_limit_vertical_arm_m,
stall_limit_thrust_N,
stall_limit_density_kg_m3,
stall_limit_canard_arm_to_cg_m,
stall_limit_wing_arm_to_cg_m,
stall_limit_canard_lift_moment_term_m3,
stall_limit_wing_lift_moment_term_m3,
stall_limit_lift_moment_term_m3,
back_transition_a_max_m_s2,
back_transition_time_s,7.099999999999983
back_transition_distance_m,67.68849804409868
transition_sim_binding_leg,forward
transition_sim_forward_cap_EAS_m_s,16.20703125
transition_sim_back_cap_EAS_m_s,45.0
transition_sim_cap_time_s,7.099999999999983
transition_sim_cap_distance_m,67.68849804409868
transition_sim_cap_max_alpha_deg,50.39990739797398
transition_sim_cap_min_height_m,20.0
transition_sim_cap_final_speed_m_s,20.55031137115535
transition_sim_cap_final_pitch_deg,5.0
transition_sim_cap_final_gamma_deg,0.0010345239790281629
transition_sim_forward_actual_success,True
transition_sim_forward_actual_reasons,
transition_sim_back_actual_success,True
transition_sim_back_actual_reasons,
minimum_climb_EAS_m_s,20.139325067740312
cruise_true_speed_m_s,40.20166341063754
CL_trim,0.38175677965559063
CD_trim,0.031939770136580795
drag_model,component_build_up
CD0_component,0.013444711284744847
CD0_fixed,0.04
CD0_wing,0.007341610534798823
CD0_canard,0.0009378580731221482
CD0_fuselage,0.00358938423938481
CD0_hardware,0.00035361195700771584
CD0_misc,0.0012222464804313498
oswald_wing,0.78
oswald_canard,0.7
trim_drag_CD,0.031939770136580795
wing_CL_trim,0.2808041788343407
canard_CL_trim,0.7765584678557683
optimized_climb_EAS_m_s,29.567214442785144
optimized_climb_angle_deg,24.48122175499698
course_climb_available_power_W,14500.0
course_climb_average_power_W,12229.505068097229
course_climb_time_s,425.57944333639296
course_climb_max_thrust_to_weight,0.5
course_climb_thrust_limit,0.5
course_climb_complies_time,True
canard_area_ratio,0.13
canard_area_m2,0.2925
canard_span_m,1.2093386622447824
canard_arm_m,1.3703105245618592
wing_mac_le_x_m,1.7203105245618593
x_CG_over_MAC,-0.3015835478211661
scissor_forward_limit_x_over_c,-0.39146846189424356
scissor_aft_limit_x_over_c,-0.2315494978521319
scissor_clearance_over_c,3.404996903416668e-05
scissor_CL_Ah_control,0.48653126372880595
scissor_CL_Ah_control_source,mission_max
scissor_CL_Ah_control_mission_max,0.4230706641120052
scissor_CL_Ah_control_margin_factor,1.15
scissor_CL_Ah_control_permitted,1.0318141803664063
scissor_de_da,0.5377904758357551
scissor_wing_immersed_fraction,0.39552508178982737
scissor_wing_wake_dynamic_pressure_ratio,0.85
scissor_canard_speed_ratio_sq,1.0
scissor_wing_lift_slope_factor,0.7598680590819078
operational_cg_forward_x_over_c,-0.3515835478211661
operational_cg_aft_x_over_c,-0.2515835478211661
battery_mass_kg,10.741693846458862
mission_energy_Wh,2688.9145121148144
installed_battery_energy_Wh,3329.925092402247
outbound_time_s,454.9317696868096
total_mission_time_s,754.9317696868096
climb_horizontal_distance_m,6120.518235834951
level_cruise_distance_m,0.0
spiral_excess_ground_track_distance_m,307.77450342146676
spiral_used,True
spiral_turn_radius_m,250.0
spiral_crossover_altitude_m,3220.0
spiral_arc_m,7173.680960563418
spiral_max_load_factor,1.1131507085463996
spiral_max_bank_angle_deg,26.057853079826188
peak_electrical_power_W,14353.407930474772
propeller_diameter_m,1.0557387649057204
candidate_count,151
