wing_area_m2,feasible,failure_reason,MTOW_mass_estimate_kg,mass_closure_error_kg,wing_span_m,wing_stall_EAS_m_s,max_stall_EAS_m_s,stall_margin_m_s,stall_limit_source,stall_limit_safety_factor_R,stall_limit_vertical_arm_m,stall_limit_thrust_N,stall_limit_canard_arm_to_cg_m,stall_limit_wing_arm_to_cg_m,minimum_climb_EAS_m_s,optimized_climb_EAS_m_s,max_climb_CL,climb_CL_limit,course_climb_available_power_W,course_climb_average_power_W,course_climb_time_s,course_climb_max_thrust_to_weight,course_climb_thrust_limit,cruise_true_speed_m_s,mission_energy_Wh,battery_mass_kg,canard_area_ratio,canard_area_m2,canard_arm_m,scissor_clearance_over_c,outbound_time_s,peak_electrical_power_W,sizing_iterations_used,propeller_diameter_m
0.15,False,No feasible course-method climb: No positive climb rate at 70 m (n=1.00).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,False,No feasible course-method climb: No positive climb rate at 70 m (n=1.00).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,False,No feasible course-method climb: No positive climb rate at 2170 m (n=1.00).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,False,No feasible course-method climb: No positive climb rate at 3970 m (n=1.00).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,False,No feasible course-method climb: No positive climb rate at 5370 m (n=1.00).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,False,No feasible course-method climb: CL limit exceeded at 70 m (n=3.58).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,False,No feasible course-method climb: No positive climb rate at 70 m (n=3.22).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,False,No feasible course-method climb: No positive climb rate at 70 m (n=2.93).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55,False,No feasible course-method climb: No positive climb rate at 770 m (n=2.86).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,False,No feasible course-method climb: No positive climb rate at 1570 m (n=2.84).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.65,False,No feasible course-method climb: No positive climb rate at 2370 m (n=2.84).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,False,No feasible course-method climb: No positive climb rate at 3170 m (n=2.86).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,False,No feasible course-method climb: No positive climb rate at 3770 m (n=2.84).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,False,Stall speed above transition-sim (forward binding) limit.,39.21846602643938,-2.769713571499402,2.3664319132398464,25.622460720818165,16.166015625,-9.456445095818165,transition-sim (forward binding),,,,,,32.0280759010227,38.47212477230846,0.7433859834642321,0.8192,17000.0,14282.009026154534,359.2163093070119,0.5,0.5,52.309405533661966,2690.4905599990757,10.74798985318716,0.15000000000000002,0.12000000000000002,1.0921465304503464,-0.12253138642247563,399.99280132587035,16794.61809309617,8,1.0011430573302946
0.85,False,Stall speed above transition-sim (forward binding) limit.,42.578717962056,-0.0006568878468655726,2.4392621835300936,25.031823274149872,16.166015625,-8.865807649149872,transition-sim (forward binding),,,,,,31.289779092687336,39.6733539042547,0.6819925370949121,0.8192,18000.0,14934.967057698308,344.0942213525422,0.5,0.5,53.94268111107567,2691.5292177115243,10.752139090029061,0.16,0.136,2.185923152189832,-0.07525698536898773,384.1612675121021,17562.854807007767,6,1.0081664883894361
0.9,False,Stall speed above transition-sim (forward binding) limit.,42.83930475318967,-0.0002762323806422273,2.5099800796022267,24.40077716807599,16.166015625,-8.23476154307599,transition-sim (forward binding),,,,,,30.500971460094988,38.673198413303105,0.6672074496256707,0.8192,17500.0,14651.28827903722,350.00055465681135,0.5,0.5,52.58279939197284,2686.978463156532,10.733959705009616,0.16,0.14400000000000002,2.197919637080366,-0.06282265023025979,389.3096179801897,17224.721924578986,5,1.0112422914639276
0.95,False,Stall speed above transition-sim (forward binding) limit.,43.12613130774619,-0.004140927711404174,2.578759391645525,23.830414888580574,16.166015625,-7.664399263580574,transition-sim (forward binding),,,,,,29.788018610725718,37.76922173049282,0.6545374717573941,0.8192,17000.0,14409.062110441177,355.8042169713612,0.5,0.5,51.35368914204629,2685.325794103136,10.727357611517572,0.16,0.152,2.2150733242597727,-0.05209746572208984,394.42818801051226,16936.2458377858,4,1.01466742183213
1.0,False,Stall speed above transition-sim (forward binding) limit.,43.43277693081268,-0.00023319587133130426,2.6457513110645907,23.308389725164634,16.166015625,-7.142374100164634,transition-sim (forward binding),,,,,,29.135487156455792,36.94185534857551,0.6435140492267657,0.8192,17000.0,14194.964179953713,361.5309852650496,0.5,0.5,50.2287436431228,2685.5272108117665,10.728162232345019,0.16,0.16,2.2367409234962654,-0.042657308590620335,399.52792428527914,16681.517154422112,5,1.0182222466748043
1.05,False,Stall speed above transition-sim (forward binding) limit.,43.75599287144625,-0.0002896455989542801,2.711088342345192,22.831154122680537,16.166015625,-6.6651384976805375,transition-sim (forward binding),,,,,,28.53894265335067,36.185476688271756,0.6339113877513921,0.8192,16500.0,14010.01264695575,367.11097579792846,0.5,0.5,49.20031804113172,2687.5542657053934,10.736259924919178,0.16,0.168,2.261755352977705,-0.034327506449059575,404.53468190852436,16461.584273834244,6,1.022004541710684
1.1,False,Stall speed above transition-sim (forward binding) limit.,44.09276609798883,-0.0002599757413221937,2.7748873851023217,22.391898479498582,16.166015625,-6.2258828544985825,transition-sim (forward binding),,,,,,27.989873099373224,35.48929309846528,0.6254701014229815,0.8192,16500.0,13848.080994318128,372.5565740513998,0.5,0.5,48.25373788886315,2690.962850831618,10.74987656379354,0.16,0.17600000000000002,2.2897294315058407,-0.026893260332375046,409.45266698916555,16269.123944565557,8,1.0259296219329888
1.15,False,Stall speed above transition-sim (forward binding) limit.,44.217028700589964,-0.7498582584302014,2.837252191822221,22.11565454893059,16.166015625,-5.949638923930589,transition-sim (forward binding),,,,,,27.644568186163237,36.89628367246587,0.5802377279132402,0.8192,17500.0,14681.351341171747,357.9029334186896,0.5,0.5,50.16678118847346,2716.7913010572274,10.853056231128445,0.155,0.17825,2.211833118437377,3.902895331964196e-05,394.46721516872367,17249.335169355847,8,1.0360459758102014
1.2,False,Stall speed above transition-sim (forward binding) limit.,43.52503712475457,0.00030032732573204157,2.898275349237888,21.300007687854556,16.166015625,-5.133992062854556,transition-sim (forward binding),,,,,,26.625009609818196,35.53551282590402,0.5649819660411042,0.8192,16500.0,13689.18115396886,368.54504859023257,0.5,0.5,48.31658147965927,2656.7144138530293,10.613060676532626,0.15000000000000002,0.18000000000000002,1.985072006735015,0.0022433036461628753,404.12961377894044,16080.355826383651,4,1.0192968771960147
1.25,False,Stall speed above transition-sim (forward binding) limit.,44.01032914839972,-0.07127040461639922,2.958039891549808,21.002740789477578,16.166015625,-4.836725164477578,transition-sim (forward binding),,,,,,26.253425986846974,35.039572550445094,0.5597465156002521,0.8192,16500.0,13672.005059631898,372.4973099956346,0.5,0.5,47.64226621521799,2669.2715617724457,10.66322405581722,0.15000000000000002,0.18750000000000003,2.0522291861059916,0.007003310741644508,407.7248121986654,16058.798854040619,8,1.0257966806642962
1.3,False,Stall speed above transition-sim (forward binding) limit.,45.39364289034853,0.7738155855983564,3.0166206257996713,20.720230045107662,16.166015625,-4.554214420107662,transition-sim (forward binding),,,,,,25.90028755638458,34.568250458587954,0.5549297023207871,0.8192,16500.0,13654.095267153923,376.0623102835032,0.5,0.5,47.001423563925826,2680.279932304089,10.707200368736999,0.16,0.20800000000000002,2.4281975335389876,6.33320652005942e-05,410.9504738974704,16036.22712976571,8,1.032040069762191
1.35,False,Stall speed above transition-sim (forward binding) limit.,45.526344959313626,1.1634271650884571,3.0740852297878796,20.274281556145347,16.166015625,-4.108265931145347,transition-sim (forward binding),,,,,,25.342851945181682,33.82425972950248,0.547637881128382,0.8192,16000.0,13284.562693639033,382.75388557403744,0.5,0.5,45.98984146412381,2665.3293245317127,10.647475579873015,0.16,0.21600000000000003,2.4153398408586226,6.069567954991584e-05,417.1063968843123,15600.74422676356,8,1.029064669797354
1.4,False,Stall speed above transition-sim (forward binding) limit.,45.92911295513158,0.6078713682537611,3.1304951684997055,20.122836016426277,16.166015625,-3.9568203914262767,transition-sim (forward binding),,,,,,25.153545020532846,33.5715980874045,0.5452475002686575,0.8192,16000.0,13470.880567826649,384.8120491314997,0.5,0.5,45.646304932738445,2692.4864914941695,10.755963213798742,0.16,0.22399999999999998,2.4296112674593333,6.068243266499351e-05,418.98265119834775,15818.69774685183,8,1.0401201654366699
1.45,False,Stall speed above transition-sim (forward binding) limit.,45.746914323012604,2.323673263248729,3.1859064644147983,19.354387106358715,16.166015625,-3.1883714813587147,transition-sim (forward binding),,,,,,24.192983882948393,33.904047613563876,0.4959017074137085,0.8192,15500.0,13034.624317819247,379.43591878835304,0.5,0.5,46.09832668059526,2624.5938045302373,10.484745049556526,0.16,0.23199999999999998,2.3924937864143194,5.022021852496561e-05,412.6834962477957,15306.316827564784,8,1.0181077296216212
1.5,False,Stall speed above transition-sim (forward binding) limit.,45.358855043439085,1.3921120050469398,3.24037034920393,19.147797439484897,16.20703125,-2.940766189484897,transition-sim (forward binding),,,,,,23.934746799356123,33.54215416461767,0.49284518115328185,0.8192,15500.0,13057.826297080193,382.2181827719521,0.5,0.5,45.60627090533097,2636.6485166808175,10.53290129503972,0.135,0.2025,2.187160354148785,0.0020740926400395487,415.2176144618296,15332.4712734597,8,1.0244594302162489
